"CODE"	"NAME"	"SERIAL"
""	"Apm"	25
""	"Marsmery"	103
""	"Mega Coach"	123
""	"Pioneer Coaches"	163
""	"Fun Lover Coaches"	203
""	"Tombs Motors"	284
""	""	33
""	"Greyhound Express"	43
""	"Citiliner Plus"	143
""	"Citiliner Plus Malawi Carrier"	183
""	"Munenzwa"	303
""	"Margate Mini Coach Carrier"	363
""	"Greyhound Mega Coach"	223
""	"Luciano"	243
""	"Transit Liner"	283
"R"	"SA Roadlink"	1
"P"	"Pioneer / Phadziri"	2
"M"	"Intercape"	3
"G"	"Greyhound"	4
"g"	"Citiliner"	5
"X"	"Intercity Express"	6
"S"	"Intercape Sleepliner"	7
"T"	"Translux"	8
"t"	"City to City"	9
"I"	"Margate Mini Coach"	10
"C"	"Chihwa Tours"	11
"H"	"Hawk Coaches"	12
"A"	"Atlantic"	13
"U"	"Munorurama"	14
"N"	"Netshituni / Nyamende"	15
"e"	"Eagle Liner"	16
"L"	"Aluane Luxury Coaches"	17
"a"	"APM"	18
"O"	"Eldo"	19
""	"Mybus"	27
""	"Atlantic Charters And Tours"	30
"D"	"DMJ Transport"	20
"J"	"Jr Choeu"	21
""	"Eldo Coaches"	23
""	"Dmj Transport"	24
""	"Greyhound Budget"	26
""	"Nozulu"	28
""	"Shalom Bus Services"	29
""	"Delta Coaches"	31
""	"City To City"	32
""	"Greyhound Dreamliner"	63
""	"Business Time Express"	83
""	"African Grey"	263
""	"Intercape Budgetliner"	323
""	"Chilwans Express"	343
""	"A P M"	383
""	"Ilulabus"	504
""	"Wezwe Coaches"	544
""	"Mavumisa Transport"	624
""	"Greyhound Premium"	824
""	"Vilamora Xpress Africa (pty) Ltd"	403
""	"Vilamora"	483
""	"Luvalo Brothers Transport"	484
""	"Jobela Star"	524
""	"Lamavuso"	604
""	"Bhekizizwe"	684
""	"Citi Link"	764
""	"Mulaudzi"	804
""	"Greyhound Lite"	825
""	"Hartley Tours"	443
""	"K K Coaches"	564
""	"Badela"	584
""	"Apm Wc"	644
""	"Big Tree Coaches"	664
""	"Ll Vaya Africa"	704
""	"Nobles Transport"	784
""	"Apmwc"	423
""	"Vilamora Intercity"	463
""	"Fortune Bus"	724
""	"Williams Coaches"	744
""	"Katiso"	844
""	"Makalala Transport"	904
""	"Jacobs Coaches"	944
""	"Intercape Inter-Connect"	965
""	"Eagle Liner Transport"	1004
""	"Big Sky Intercity"	966
""	"Gasela"	864
""	"F F Gertse"	884
""	"Intercape Mainliner"	964
""	"Flexi City Connect"	1044
""	"Zululand Bus Services"	924
""	"Intercity Xpress"	984
""	"Southern Shuttle"	1024
""	"Margate Coach"	1025
